Bias,MAE,NSE,Pearson_r,R2,RMSE,cadence_gap_count,daylight_cs_irr_min_wm2,dominant_cadence_minutes,duplicate_timestamps,irradiance_max,irradiance_min,kind,missing_by_column,n,nMAE,nRMSE,name,po_test_rows,post_clip_envelope_count,post_clip_low_count,post_clip_rated_count,power_max,power_min,raw_test_rows,rows,se_test_rows,skill,stage1_solar_elev_min_deg,test_daylight_rows,test_rows,test_start,time_end,time_start,train_rows,validation_rows
0.28573602436532053,1.963351315302923,0.9460470697864592,0.9729543694146064,0.9460470697864592,2.825072431588463,,,,,,,model_metric,,52731,4.500518774333348,6.475810731434873,proposed_daylight,,,,,,,,,,,,,,,,,,
0.15963616691382723,0.38675097089981303,0.9981521362917368,0.9991960040606725,0.9981521362917368,0.5228258316191691,,,,,,,model_metric,,52731,0.8865351768477089,1.1984546283533961,sensor_daylight,,,,,,,,,,,,,,,,,,
0.28573602436532053,1.963351315302923,0.9460470697864592,0.9729543694146064,0.9460470697864592,2.825072431588463,,,,,,,model_metric,,52731,4.500518774333348,6.475810731434873,proposed_common_last_value,,,,,,,,,,,,,,,,,,
0.28632953421809776,1.9654315999785734,0.9459628342440956,0.972913009192734,0.9459628342440956,2.827672479869985,,,,,,,model_metric,,52598,4.505287335194438,6.481770727495667,proposed_common_previous_day,,,,,,,,,,,,,,,,,,
0.00017997003660086074,0.8960795357569551,0.989222170650123,0.9946109669812132,0.989222170650123,1.2626637730744303,,,,,,,baseline_metric,,52731,2.0540505117637937,2.8943582190817887,last_value_5min,,,,,,,,,,-1.2373908967941327,,,,,,,,
0.020894729837636405,3.6100964865584237,0.7984307198728077,0.8992596625776133,0.7984307198728077,5.461286953959336,,,,,,,baseline_metric,,52598,8.275292805864582,12.518709350050054,previous_day,,,,,,,,,,0.4822333080630432,,,,,,,,
0.28573602436532053,1.963351315302923,0.9460470697864592,0.9729543694146064,0.9460470697864592,2.825072431588463,,,,,,,ablation_metric,,52731,4.500518774333348,6.475810731434873,proposed,,,,,,,,,,,,,,,,,,
0.5131654843331449,2.167355800833787,0.9376003709755999,0.9694471880959717,0.9376003709755999,3.0381770076881356,,,,,,,ablation_metric,,52731,4.968150832856818,6.964302596419795,single_stage,,,,,,,,,,,,,,,,,,
0.24712357515648617,1.9865421975083166,0.9451284136308336,0.9724058545285328,0.9451284136308336,2.8490221579559347,,,,,,,ablation_metric,,52731,4.553678389703878,6.530709817664033,total_cloud_only,,,,,,,,,,,,,,,,,,
,,,,,,0,10.0,5.0,0,1125.0,0.0,data_quality,"{""time"": 0, ""irradiance"": 0, ""power"": 0, ""theoretical_power"": 0, ""temp"": 0, ""humidity"": 0, ""wind_speed"": 0, ""precipitation"": 0, ""cloud_cover"": 0, ""cloud_cover_low"": 0, ""cloud_cover_mid"": 0, ""cloud_cover_high"": 0}",,,,dataset_audit,106272,53313,0,0,43.624,0.0,106272,525888,106272,,5.0,52731,106272,2024-12-28,2025-12-31 23:55:00,2021-01-01 00:00:00,315348,104256
