mo,hr,lo_frac,mi_frac,hi_frac
1,0,0.4006882989183874,0.25408062930186825,0.6891838741396262
1,1,0.4132270613910238,0.23303918777872665,0.7006357339406015
1,2,0.4576884422110553,0.26402010050251257,0.6501507537688442
1,3,0.516385495443087,0.2528601900329649,0.6079115764979639
1,4,0.5247047709022201,0.24355219650448748,0.5863958431743033
1,5,0.5400199872808212,0.23566821113836647,0.6476787498864359
1,6,0.5335391289838145,0.22718171199733025,0.6552644752210913
1,7,0.5474347434743474,0.23267326732673266,0.633033303330333
1,8,0.511952779144122,0.28440727988194786,0.6369896704377768
1,9,0.5289440511975178,0.29981576650829056,0.6118491224667895
1,10,0.5166218293620293,0.3129323597232898,0.587336664104535
1,11,0.5177861781525637,0.32664534263836387,0.5979451390908209
1,12,0.4472371450498849,0.3133154259401381,0.6257674597083652
1,13,0.42326183431952663,0.2893860946745562,0.6249075443786982
1,14,0.40347598579704724,0.2822836852924687,0.6885628854419734
1,15,0.36908940739211227,0.2918645467685319,0.6875903365682428
1,16,0.3622650266883267,0.2705964260849385,0.7028312833604083
1,17,0.34376115142143454,0.26299512311169265,0.7717378375163555
1,18,0.2668813741277509,0.284272678475577,0.7728395061728395
1,19,0.2585168145470479,0.25775002738525576,0.7855186767444409
1,20,0.2811030354852501,0.2587644292432663,0.7580162462590851
1,21,0.3163298389711445,0.27882848805792715,0.7234410461471955
1,22,0.3530093812585643,0.2956677558764625,0.7069674291135238
1,23,0.37183128221310613,0.2607552329862207,0.6930682654885874
2,0,0.3190585158548545,0.06178489702517162,0.7721477607061131
2,1,0.34098591549295776,0.07239436619718309,0.742112676056338
2,2,0.4363073749355338,0.06472408457968025,0.7004899432697266
2,3,0.5313718934581523,0.07065641368550095,0.6098294884653963
2,4,0.6426265886624976,0.06294129513818843,0.5392374420012104
2,5,0.760554272517321,0.05690531177829099,0.4709468822170901
2,6,0.7098218128604631,0.0671429801153482,0.47387449427563055
2,7,0.6858132749817651,0.06728665207877461,0.525346462436178
2,8,0.5405651777575206,0.07793983591613492,0.5983363719234276
2,9,0.4467459404168265,0.090014064697609,0.6644930315816392
2,10,0.3206064008983717,0.1186131386861314,0.76614261650758
2,11,0.25190281030444966,0.15544496487119439,0.7773711943793912
2,12,0.23251871733295662,0.130244384800113,0.799547958751236
2,13,0.207466514676546,0.17412368196067254,0.8131946423482472
2,14,0.16654174786388848,0.1506520761505022,0.8451506520761506
2,15,0.11126637554585152,0.12873362445414846,0.8677729257641921
2,16,0.10625996810207336,0.12001594896331738,0.8777910685805422
2,17,0.1273604699958036,0.1258917331095258,1.0148971884179605
2,18,0.12215799614643547,0.09672447013487477,0.8495183044315993
